Designator,Mid X,Mid Y,Rotation,Layer
BZ1,186.5,-108.2,270.0,top
D1,99.5,-126.225,90.0,top
D2,90.46,-126.275,270.0,top
EM4100,113.19,-122.37,0.0,top
NHD-C12864A1Z-FSW-FBW-HTT1,144.24,-67.1,0.0,top
Q1,102.0,-114.0,0.0,top
Q2,100.0,-102.475,180.0,top
R1,94.5,-115.0,270.0,top
R1.1,167.5,-136.5,180.0,top
R2,126.185,-137.5,180.0,top
R3,137.0,-137.5,180.0,top
R4,148.735,-136.5,0.0,top
R5,157.815,-136.5,0.0,top
R6,112.5,-114.5,180.0,top
R7,94.5,-104.0,90.0,top
R8,116.5,-110.5,0.0,top
SW1,193.9,-77.2,0.0,top
SW2,193.65,-87.7,0.0,top
SW3,129.75,-148.0,180.0,top
SW4,144.25,-148.0,180.0,top
SW5,156.15,-148.0,180.0,top
SW6,169.65,-148.0,180.0,top
U1,150.72,-117.47,90.0,top
