Designator,Mid X,Mid Y,Rotation,Layer
BZ1,175.0,-116.0,0.0,top
D1,92.75,-38.25,0.0,top
D2,182.325,-38.2,180.0,top
EM4100,95.8325,-93.2075,90.0,top
NHD-C12864A1Z-FSW-FBW-HTT1,137.535,-58.84,0.0,top
Q1,112.23,-126.14,0.0,top
Q2,98.23,-126.14,0.0,top
R1,126.4,-120.525,180.0,top
R2,147.5,-124.0,180.0,top
R3,154.025,-130.55,180.0,top
R4,146.5,-137.0,180.0,top
R5,126.45,-124.125,180.0,top
R6,120.19,-129.0,180.0,top
R7,98.275,-131.15,0.0,top
R8,113.0,-135.19,90.0,top
R9,98.325,-136.275,0.0,top
SW1,164.2355,-130.375,180.0,top
SW2,177.075,-130.4,0.0,top
SW3,137.2145,-123.95,0.0,top
SW4,144.2645,-130.45,0.0,top
SW5,137.2145,-136.975,0.0,top
SW6,130.1895,-130.45,0.0,top
U1,133.54,-104.305,90.0,top
